0;1181;2;258 1
95;0;63;1290 1
1;18;13;24 2
18;13;24;37 5
13;24;37;347 1
24;37;347;92 1
37;347;92;64 1
347;92;64;95 1
92;64;95;0 1
64;95;0;272 1
95;0;272;2 1
18;19;2660;5 1
19;2660;5;206 1
174;3;17;5 2
40;83;5;378 1
83;5;378;2359 1
5;378;2359;4 1
29;971;3;17 1
971;3;17;5 4
3;17;5;45 1
17;5;45;2678 1
5;45;2678;1998 1
45;2678;1998;96 1
2678;1998;96;18 1
94;3;1878;12 1
12;1898;726;3 1
873;10;32;1290 1
10;32;1290;6 1
32;1290;6;811 1
1290;6;811;19 1
1;12;1317;4 1
12;1317;4;0 1
1317;4;0;1885 1
4;0;1885;6 1
402;179;493;5 1
179;493;5;2691 1
493;5;2691;21 1
5;2691;21;2649 1
2691;21;2649;323 1
21;2649;323;236 1
2649;323;236;0 1
323;236;0;331 1
236;0;331;364 1
0;331;364;194 1
331;364;194;21 1
6;381;3;799 1
381;3;799;4 1
14;0;272;1 2
13;239;307;57 1
239;307;57;18 1
307;57;18;6 1
57;18;6;3 1
18;6;3;43 2
6;3;43;0 2
3;43;0;330 1
43;0;330;1 1
0;330;1;775 1
330;1;775;1181 1
1;775;1181;2 1
0;1097;2;672 1
1097;2;672;6 1
2;672;6;63 1
0;1096;2;2060 1
1096;2;2060;6 1
0;942;2;0 5
2;0;376;144 1
0;376;144;5 1
376;144;5;125 1
144;5;125;2 1
5;125;2;187 1
1;52;32;46 1
52;32;46;2381 1
32;46;2381;163 1
46;2381;163;104 1
2381;163;104;781 1
163;104;781;2096 1
104;781;2096;2 1
781;2096;2;0 1
2096;2;0;303 1
0;2444;2;0 6
1096;2;0;376 1
2;0;376;6 1
0;376;6;204 1
376;6;204;45 1
6;204;45;558 1
204;45;558;4 2
45;558;4;187 1
69;18;585;203 1
14;2663;3;2671 1
2663;3;2671;0 1
3;2671;0;1339 1
48;140;718;8 1
140;718;8;0 1
718;8;0;303 1
10;91;206;2012 1
91;206;2012;23 1
206;2012;23;47 1
2012;23;47;1255 1
23;47;1255;1 1
47;1255;1;47 1
1255;1;47;641 1
1;47;641;1 1
47;641;1;672 1
23;47;1337;10 1
47;1337;10;303 1
1337;10;303;1083 1
10;303;1083;2 1
303;1083;2;26 1
1083;2;26;1924 1
2;26;1924;348 1
26;1924;348;144 1
1924;348;144;5 1
348;144;5;2665 1
4;1174;8;396 1
1174;8;396;2 1
8;396;2;0 1
3;2466;56;20 1
2466;56;20;0 1
256;2;0;235 1
2;0;235;26 1
0;235;26;2044 1
1;47;27;354 1
47;27;354;5 1
27;354;5;498 1
354;5;498;2 1
5;498;2;303 1
498;2;303;1339 1
2;303;1339;19 1
69;40;6;45 1
40;6;45;931 1
6;45;931;2 1
45;931;2;452 1
931;2;452;1 1
2;452;1;2243 1
452;1;2243;46 1
1;2243;46;371 1
2243;46;371;38 1
46;371;38;4 1
371;38;4;604 1
38;4;604;8 1
27;23;1464;1432 1
23;1464;1432;326 1
1464;1432;326;3 1
1432;326;3;2612 1
326;3;2612;19 1
3;2612;19;672 1
2612;19;672;163 1
0;1164;2;0 3
6;162;95;0 1
162;95;0;489 1
95;0;489;1122 1
0;489;1122;1 1
